Architecture,Accuracy,Accuracy_TS,AUROC,AUROC_TS,ECE_15,ECE_15_TS,MCE_15,MCE_15_TS,Gamma Correlation,Gamma Correlation_TS,Parameters #,AURC,AURC_TS,Confidence Mean,Confidence Mean_TS,Confidence Median,Confidence Median_TS,Confidence GINI,Confidence GINI_TS,Confidence Variance,Confidence Variance_TS,A-ECE,A-ECE_TS,A-MCE,A-MCE_TS,Parameters # Trainable,ECE_10,ECE_10_TS,MCE_10,MCE_10_TS,ECE_30,ECE_30_TS,MCE_30,MCE_30_TS,ECE_50,ECE_50_TS,MCE_50,MCE_50_TS,input size,Temperature,Coverage_for_Accuracy_95,Coverage_for_Accuracy_95_nonstrict,Coverage_for_Accuracy_95_TS,Coverage_for_Accuracy_95_nonstrict_TS,Coverage_for_Accuracy_99,Coverage_for_Accuracy_99_nonstrict,Coverage_for_Accuracy_99_TS,Coverage_for_Accuracy_99_nonstrict_TS,Coverage_for_Accuracy_98,Coverage_for_Accuracy_98_nonstrict,Coverage_for_Accuracy_98_TS,Coverage_for_Accuracy_98_nonstrict_TS,Coverage_for_Accuracy_97,Coverage_for_Accuracy_97_nonstrict,Coverage_for_Accuracy_97_TS,Coverage_for_Accuracy_97_nonstrict_TS,Coverage_for_Accuracy_96,Coverage_for_Accuracy_96_nonstrict,Coverage_for_Accuracy_96_TS,Coverage_for_Accuracy_96_nonstrict_TS,EAURC,EAURC_TS,hAURC_selective_01,hAURC_climbing_01,hAURC_jumping_01,hAURC_maxcoverage_01,hAURC_selective_hier,hAURC_climbing_hier,hAURC_jumping_hier,hAURC_maxcoverage_hier,Gain_climbing_01,Gain_jumping_01,Gain_maxcoverage_01,Gain_climbing_hier,Gain_jumping_hier,Gain_maxcoverage_hier,hAURC_selective_01_TS,hAURC_climbing_01_TS,hAURC_jumping_01_TS,hAURC_maxcoverage_01_TS,hAURC_selective_hier_TS,hAURC_climbing_hier_TS,hAURC_jumping_hier_TS,hAURC_maxcoverage_hier_TS,Gain_climbing_01_TS,Gain_jumping_01_TS,Gain_maxcoverage_01_TS,Gain_climbing_hier_TS,Gain_jumping_hier_TS,Gain_maxcoverage_hier_TS
alexnet_torchvision,56.554,56.50222,0.8487621287782605,0.8475751190919564,0.0200011748820543,0.020147630944848,0.0451085567474365,0.0450581461191177,0.6975242575565211,0.6951502381839127,61100840,0.18396,0.18504,0.58312,0.5514,0.57038,0.52215,0.30431,0.32641,0.09558,0.09822,0.0201842915266752,0.0195813346654176,0.0485409498214721,0.0389986187219619,61100840,0.0191461965441703,0.0198614969849586,0.0425956845283508,0.040095567703247,0.0206399876624345,0.0201476607471704,0.0575572252273559,0.0741528794169426,0.0215835273265838,0.0211752261966466,0.0649341940879821,0.0532562434673309,224,1.0843,0.26307,0.26307,0.26119,0.26119,0.05328,0.05328,0.05409,0.05409,0.14894,0.14894,0.14009,0.14009,0.19314,0.19314,0.18791,0.18791,0.23294,0.23294,0.22555,0.22555,0.0718434453010559,0.0726256817579269,0.1315378392132092,0.13645943299219,0.1419113618220388,0.1414436394645273,0.0856664140158489,0.0889409693587243,0.0915359499688723,0.0915563998108272,-3.74158022392589,-7.886341048992939,-7.53076096625082,-3.82244941672195,-6.85161859575152,-6.8754900769964005,0.1320649618525368,0.1396289282701598,0.1468289914583683,0.1460396489509794,0.0857092418550636,0.0908850251077286,0.0943867495213045,0.0942806363344427,-5.72745890470855,-11.179369151915559,-10.58167654948991,-6.038769146292751,-10.124354711846301,-10.0005487084736
bat_resnext26ts.ch_in1k,78.26,78.30667,0.8526462730910646,0.8665427392731387,0.1522769778966903,0.0256635192781686,0.2076085209846496,0.0754539370536804,0.7052925461821292,0.7330854785462775,10731200,0.06931,0.06283,0.63032,0.80859,0.69709,0.92466,0.20234,0.14026,0.05199,0.04914,0.1522769480943679,0.025562098249793,0.2075894474983215,0.0679258108139038,10731200,0.1522769480943679,0.025628114119172,0.2041777968406677,0.0706097483634948,0.1523081511259079,0.0258613470941782,0.2193242907524109,0.0778180956840515,0.1523083299398422,0.0262330807745456,0.2240089178085327,0.1163650751113891,256,0.77473,0.55529,0.55529,0.60108,0.60108,0.00098,0.00098,0.00069,0.00069,0.00154,0.00414,0.00069,0.0062,0.29107,0.29107,0.00069,0.46043,0.46633,0.46633,0.54374,0.54374,0.0437527075409889,0.0373894274234771,0.0487016427033394,0.0481846803366968,0.049481917244477,0.0493197670325467,0.0290285557539453,0.0299784084544455,0.0307144740805906,0.0306636133662612,1.06148856167248,-1.60215240765198,-1.2692063242559999,-3.2721321327573203,-5.8077926471289505,-5.6325833988267595,0.0462008316895451,0.0408836217461505,0.0411639696053477,0.0411400573649485,0.0280764869705769,0.0254483156512052,0.0256047781657205,0.0255979226919727,11.508905248988931,10.902102624566409,10.953859788939429,9.36075557503296,8.80348316884035,8.82790030391489
beit_base_patch16_224.in22k_ft_in22k_in1k,85.22,85.21778,0.8652600052272571,0.873466056585571,0.0739656314253807,0.0246243625879287,0.13168665766716,0.1290218383073806,0.7305200104545141,0.7469321131711419,86530984,0.03897,0.03597,0.77823,0.87635,0.87227,0.9707,0.12612,0.09366,0.03865,0.03248,0.0739656165242195,0.0250379145145416,0.1067322790622711,0.0784518122673034,86530984,0.0739655941724777,0.0243209525942802,0.1199636906385421,0.0822645425796508,0.0739656239748001,0.0247988905757665,0.2593779861927032,0.1633439362049102,0.0739668384194374,0.0254762526601552,0.2526671588420868,0.1458631008863449,224,0.82342,0.00022,0.74787,0.00027,0.75089,0.00022,0.00694,0.00027,0.12418,0.00022,0.47651,0.00027,0.55274,0.00022,0.63859,0.00027,0.65152,0.00022,0.70307,0.00027,0.7113,0.0274642333388328,0.0244612097740173,0.0278935238469883,0.0242904609969874,0.0244911393246671,0.0244699916366359,0.0156923602874093,0.0143639109966834,0.0144905240161948,0.0144821865719658,12.91720210671723,12.19775794906808,12.27357371242306,8.465579851564819,7.658734882468771,7.71186547644131,0.0268656176688339,0.021810365287997,0.0218644456186602,0.0218605902630796,0.0152807097687588,0.0128187018902445,0.0128535009161395,0.0128526047776772,18.81681055374134,18.61551114075224,18.62986165979921,16.11186859623383,15.884136858496559,15.89000136659785
beit_base_patch16_384.in22k_ft_in22k_in1k,86.82,86.75111,0.8630124874201206,0.8720343430932924,0.074449747800827,0.0292664933949708,0.2484978288412094,0.209795281291008,0.7260249748402412,0.7440686861865847,86744104,0.03547,0.03247,0.79375,0.89547,0.87814,0.97746,0.11216,0.07995,0.03344,0.02706,0.0744496956467628,0.0282947532832622,0.1058503687381744,0.1091942191123962,86744104,0.0744497552514076,0.0290346294641494,0.1705861687660217,0.3427574336528778,0.0744497328996658,0.0292779207229614,0.2515372931957245,0.4427806735038757,0.0744932293891906,0.0293638855218887,0.3481298983097076,0.9478456377983092,384,0.81026,2e-05,0.79102,4e-05,0.79269,2e-05,2e-05,4e-05,0.005,2e-05,2e-05,4e-05,0.58239,2e-05,0.00506,4e-05,0.69243,2e-05,0.74695,4e-05,0.74896,0.0263722799718379,0.0232786983251571,0.024360793713416,0.0209283271617421,0.0210738614375123,0.0210607283092269,0.0136170541244511,0.0123072329912766,0.012401236718121,0.012395891824212,14.0901260938126,13.492714213550089,13.54662513467979,9.61897574323758,8.928637539502079,8.96788900946153,0.0234840062029591,0.0187377788151342,0.0187800414249339,0.0187771218914163,0.0133461853836927,0.011005417674674,0.0110345531338677,0.0110332808249688,20.21046727209113,20.03050389857449,20.04293590652234,17.53885205190421,17.32054653346524,17.330079661189192
beit_large_patch16_224.in22k_ft_in22k_in1k,87.478,87.39778,0.8701892798718381,0.8781836556695631,0.0350491441786289,0.0313309021294117,0.3080087304115295,0.1227744221687316,0.7403785597436762,0.7563673113391263,304430568,0.03117,0.02887,0.83973,0.90523,0.91914,0.97828,0.09234,0.07125,0.02847,0.02364,0.0350491367280483,0.0323988907039165,0.0518881678581237,0.1072328686714172,304430568,0.0350491032004356,0.0313962213695049,0.0695446133613586,0.292458564043045,0.0358569473028183,0.0313997231423854,0.332857608795166,0.3661669194698334,0.035751849412918,0.0323306061327457,0.4521405100822449,0.5929467678070068,224,0.85898,0.81164,0.81164,0.81354,0.81354,0.00086,0.00448,0.00136,0.00571,0.00086,0.00858,0.00138,0.60765,0.00114,0.69827,0.00138,0.70901,0.76268,0.76268,0.76989,0.76989,0.0229849405586719,0.0205771904438734,0.022059804985873,0.018525224424831,0.018576164285771,0.0185704620780865,0.0121674564827423,0.0106810941138742,0.0107140795892455,0.0107112150413461,16.02271898280819,15.791801887337051,15.817650745421549,12.21588399330861,11.94478809567277,11.96833079667609,0.0213575899245139,0.0170682126416565,0.0170806718071766,0.0170798276060622,0.0119286978942078,0.0098493488748886,0.0098568716466619,0.0098565558827324,20.08362038047229,20.02528437175513,20.029237070151478,17.43148361841622,17.36841913442969,17.37106622912727
beit_large_patch16_384.in22k_ft_in22k_in1k,88.38,88.37111,0.8711399959259013,0.8757060565737327,0.0372193492949008,0.0285473093390464,0.2651894092559814,0.4618458747863769,0.7422799918518025,0.7514121131474654,304998888,0.02856,0.027,0.84658,0.91143,0.92059,0.97877,0.08612,0.06588,0.02607,0.02145,0.0372193492949008,0.0298250075429677,0.0533447265625,0.1045570969581604,304998888,0.0372192896902561,0.0284830816090106,0.2204241156578064,0.2838075757026672,0.0376198850572109,0.0286571830511093,0.3122049868106842,0.6197028756141663,0.0382432602345943,0.0304707810282707,0.4690744876861572,0.9630298018455504,384,0.86055,0.83228,0.83228,0.83423,0.83423,0.00054,0.00054,0.00067,0.00067,0.00054,0.00054,0.00067,0.00522,0.00054,0.73233,0.00067,0.73541,0.0008,0.7906,0.79216,0.79216,0.0215296074748039,0.0199633762240409,0.019985060634298,0.0168137298887478,0.0168673894583689,0.0168621997719513,0.0109236723870154,0.0096272572452257,0.0096653738353974,0.0096626348472021,15.868506999211322,15.60000859131059,15.62597642054335,11.867942353624459,11.5190066768549,11.54408055401095,0.0195348707685848,0.0155913966673037,0.0156102729582874,0.0156090837105202,0.0107883339880908,0.0088976570068949,0.0089112799887234,0.0089107107727763,20.186845093558308,20.090216397073778,20.096304217061007,17.52519882386838,17.39892370257963,17.40419991990543
beit_large_patch16_512.in22k_ft_in22k_in1k,88.578,88.61333,0.8702654769340482,0.8770937319821032,0.039694856852293,0.0233348365873098,0.2480887621641159,0.1531789898872375,0.7405309538680964,0.7541874639642063,305674728,0.02824,0.02591,0.84609,0.90889,0.91935,0.97629,0.08574,0.06659,0.02588,0.02167,0.039694894105196,0.0265127215534448,0.0538787841796875,0.0983278155326843,305674728,0.0396949015557765,0.0233508571982383,0.1722480654716491,0.2550934255123138,0.0396976992487907,0.0244061257690191,0.2959950566291809,0.3132030069828033,0.0402865335345268,0.0271246097981929,0.4921160340309143,0.9274996519088744,512,0.86915,0.83584,0.83584,0.83858,0.83858,0.00092,0.00092,0.00387,0.00387,0.00092,0.00092,0.64536,0.64536,0.00164,0.73541,0.74049,0.74049,0.79408,0.79408,0.79909,0.79909,0.0214528031647205,0.0191673208028078,0.0196487673441756,0.0165411305727081,0.0165834474124031,0.0165792608477192,0.0107401525239632,0.0094764385498224,0.0095042893044332,0.0095022037113379,15.81593754474722,15.600571160924058,15.621878170216691,11.76625724188923,11.50694291140208,11.52636156575249,0.0188842434013805,0.0151028586567443,0.0151195734217102,0.0151188815674187,0.0103901753591868,0.0086012703286404,0.0086126853519219,0.0086126246276901,20.02402036588721,19.93550866536187,19.93917232440707,17.21727467250764,17.10741104762272,17.10799548657361
beitv2_base_patch16_224.in1k_ft_in1k,85.602,85.52667,0.8569674678700144,0.8685163515565071,0.063008964061737,0.0342310965061187,0.0771998763084411,0.1220632791519165,0.7139349357400289,0.7370327031130143,86530984,0.04132,0.0373,0.79304,0.8895,0.87195,0.96935,0.10699,0.08022,0.03049,0.02653,0.0629790797829628,0.0352191366255283,0.083668053150177,0.1085186600685119,86530984,0.0629790946841239,0.034231100231409,0.0804077982902526,0.1110554933547973,0.0630798712372779,0.034231062978506,0.0964726507663726,0.1289998292922973,0.0631868988275528,0.0347479470074176,0.139801949262619,0.1499381065368652,224,0.83956,0.0001,0.75362,0.00016,0.76123,0.0001,0.0001,0.00016,0.00016,0.0001,0.0001,0.00016,0.49274,0.0001,0.59859,0.00016,0.63899,0.0001,0.69741,0.00016,0.71365,0.0304186455905437,0.0262792035937309,0.0279936675189684,0.024950641955752,0.0250602669120022,0.0250465651297756,0.0159033998637455,0.0147842229385855,0.0148476364620115,0.014841702129091,10.87040689168179,10.47880062510057,10.527746631254569,7.03734380540437,6.63860187619877,6.6759167457949005,0.0267504448763281,0.0222461155133182,0.02227657854061,0.0222741898036732,0.0153341539594131,0.0130741221304402,0.0130903299439157,0.0130897102900548,16.83833440465842,16.72445582270338,16.73338553190197,14.73854922126706,14.632851746737629,14.63689275129863
beitv2_base_patch16_224.in1k_ft_in22k_in1k,86.472,86.46445,0.8672570075838087,0.8753199644081521,0.0584822073578834,0.0303641594946384,0.1353318691253662,0.2716031372547149,0.7345140151676175,0.7506399288163041,86530984,0.03544,0.03276,0.80624,0.89469,0.89075,0.9759,0.10692,0.07939,0.03209,0.02668,0.0584821328520774,0.0316819474101066,0.0761298537254333,0.0939010977745056,86530984,0.058482103049755,0.0303474944084882,0.0835247933864593,0.1725780963897705,0.0584821328520774,0.0305052511394023,0.9674273133277892,0.2716031372547149,0.0584821514785289,0.030960701406002,0.2993752956390381,0.9417453408241272,224,0.83351,0.78618,0.78618,0.78809,0.78809,0.00042,0.00042,0.00044,0.00044,0.00042,0.00444,0.00044,0.00044,0.00042,0.67437,0.00044,0.00584,0.00042,0.74311,0.00044,0.74616,0.0258503034710884,0.023156177252531,0.0246788530012574,0.0213060776529123,0.0214128141794015,0.0214051731017638,0.0138053157510757,0.0124717369800923,0.0125326295795531,0.0125306831208433,13.666661688747489,13.23415971434933,13.26512175961652,9.65989329783645,9.21881248115181,9.23291182335349,0.0237517548061858,0.0192169173708804,0.019254202614683,0.0192532075555372,0.0133554914036754,0.0111236624432249,0.0111448634393832,0.0111451363538333,19.092641669256192,18.935662767668298,18.93985218084617,16.71094602955841,16.55220236736351,16.55015890492622
beitv2_large_patch16_224.in1k_ft_in1k,87.41,87.38444,0.8539879303064384,0.8659837567636905,0.0667323023080825,0.0315904021263122,0.0864524394273758,0.1586124300956726,0.7079758606128769,0.731967513527381,304430568,0.03815,0.03432,0.80743,0.90543,0.87336,0.97043,0.08559,0.06481,0.02254,0.02028,0.0666718333959579,0.0364807955920696,0.0929639935493469,0.1374707221984863,304430568,0.0666718333959579,0.0315860696136951,0.0850087404251098,0.1401103734970092,0.0670276135206222,0.034729853272438,0.1394492387771606,0.162432849407196,0.067756064236164,0.0335719659924507,0.4836549758911133,0.1887479871511459,224,0.84273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298738256096839,0.0260029397904872,0.0239939366256584,0.0213428030976976,0.0213963259491648,0.0213921781614746,0.0134834812925462,0.0126534361097034,0.0126856666272554,0.0126844228241748,11.04918117157015,10.82611293436435,10.843399750424899,6.1560153852974695,5.91697832318623,5.92620296668634,0.0227310158729542,0.0189291380988314,0.0189435672932288,0.018943535777604,0.0128325468490189,0.01106385938969,0.0110706727204657,0.0110708059557694,16.72550754164201,16.66202954101923,16.662168186933542,13.782824875984009,13.729730732975309,13.728692472174489
